	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ARHGAP1	2.97029758513649	8.31168688382149	7.96253052163819	7.19189628199314e-09	1.48454229915464e-07	10.0785108348384	ILMN_1676663	ARHGAP1	up
ARHGEF1	-1.5651723384179	7.7997841426261	-7.88674487388933	8.75105673204709e-09	1.73720668005839e-07	9.88107046415066	ILMN_1718671	ARHGEF1	down
ARHGEF12	2.15590300361786	9.71388466421432	7.87525680868725	9.01582561892282e-09	1.7824092662446e-07	9.85107995118487	ILMN_1713636	ARHGEF12	up
ARHGEF2	-1.58281606181419	10.2476828984678	-7.86481160446373	9.26363847497565e-09	1.82017721863771e-07	9.82379797505423	ILMN_2394362	ARHGEF2	down
ARHGEF25	2.0299704089509	7.84454180372973	7.86390456766329	9.28548269342411e-09	1.82260760296639e-07	9.82142824720413	ILMN_1689212	ARHGEF25	up
ARL6IP1	1.47963980119802	9.43035121135714	7.75307847153303	1.23913792216466e-08	2.31868259443185e-07	9.53113565050669	ILMN_1675130	ARL6IP1	up
ARRB1	2.03351636105862	8.55886672550538	7.65120920831247	1.617657578973e-08	2.91087569589566e-07	9.26300996671225	ILMN_1683635	ARRB1	up
ARSD	-1.89815398681777	9.14554352570504	-7.63502256098118	1.68784352648914e-08	3.00902299124606e-07	9.22029309273398	ILMN_1791270	ARSD	down
ASB8	-1.75090286527527	8.58689654893964	-7.56292413298931	2.04013850200541e-08	3.51649679431685e-07	9.02965282355166	ILMN_1717393	ASB8	down
ASPHD2	-1.05079073996227	7.54011984593794	-7.50018140929261	2.40727025222212e-08	4.03013494967318e-07	8.86326207160886	ILMN_1684865	ASPHD2	down
ATG16L1	1.10902571222138	8.66327264294792	7.44444589945765	2.78955357465854e-08	4.51509076479213e-07	8.7150777178286	ILMN_2047112	ATG16L1	up
ATP1A3	-1.91113746830935	7.92414504749785	-7.37537036809432	3.350314842394e-08	5.26095153537069e-07	8.53094138691567	ILMN_1788786	ATP1A3	down
ATP2A2	-1.04183510359639	7.81429034657478	-7.35915196919528	3.49782980337259e-08	5.4569549146533e-07	8.48763065771466	ILMN_2297626	ATP2A2	down
ATP2B4	1.22927848973333	10.2441339777068	7.35267950259419	3.55852825903771e-08	5.52379601746396e-07	8.47033802745147	ILMN_2063586	ATP2B4	up
ATP5F1C	1.38670189363151	7.43220232468558	7.3373991686004	3.70610946786216e-08	5.72156675150855e-07	8.42949492848674	ILMN_1656057	ATP5F1C	up
B3GLCT	-1.08744286329698	10.0631136659337	-7.08581499513274	7.26345405029655e-08	1.02722263639293e-06	7.75342281742371	ILMN_1782897	B3GLCT	down
BEX2	2.05304934861282	10.6323580479747	6.82953471867159	1.45183749505545e-07	1.84340237986051e-06	7.05809857938505	ILMN_1688480	BEX2	up
BEX4	1.58442140912062	8.48659421516118	6.82368412802486	1.47509237669204e-07	1.87045991813105e-06	7.04215158215438	ILMN_1789502	BEX4	up
BORCS5	-1.04607718837618	9.39781168865403	-6.67959252967278	2.18402080289572e-07	2.61856298070813e-06	6.64842222801893	ILMN_1791147	BORCS5	down
BRD9	-1.90265375133944	8.50106844731063	-6.60240881504663	2.69721220643966e-07	3.17136760409984e-06	6.43677314642485	ILMN_1904578	BRD9	down
BRINP1	1.80689689495806	8.03877417802906	6.59547973444651	2.74887916092886e-07	3.2163892664007e-06	6.41774815903702	ILMN_1792679	BRINP1	up
BRMS1	1.28882328462755	10.2155362131848	6.57986734315746	2.86899715073591e-07	3.34472904191248e-06	6.37486716446204	ILMN_1812995	BRMS1	up
BRMS1L	1.06939647283417	8.10091093443784	6.57930000988679	2.87346078180162e-07	3.34790379156487e-06	6.37330855092636	ILMN_1715203	BRMS1L	up
BRSK2	1.7004532510816	7.73655026829432	6.57477490007088	2.90931578935636e-07	3.3757769267167e-06	6.36087594550511	ILMN_1757837	BRSK2	up
BTBD6	1.50952742849342	7.27993504318423	6.55249026731796	3.09260955219225e-07	3.55160819975941e-06	6.29962533670152	ILMN_1807277	BTBD6	up
BTBD8	-1.05171720563349	11.4793719708145	-6.54963549614524	3.11692029328927e-07	3.57525812532572e-06	6.29177593763051	ILMN_1752579	BTBD8	down
C10orf88	1.26186392685625	8.10073965799106	6.48873551947186	3.6842287137217e-07	4.1155530509379e-06	6.12417320463202	ILMN_1656920	C10orf88	up
C14orf93	1.34912353122855	10.939002041228	6.41817968285782	4.47364489327733e-07	4.85363977253709e-06	5.929639532564	ILMN_1753342	C14orf93	up
C2orf16	-1.21692517166545	9.84513109938271	-6.18203114398526	8.59369823036493e-07	8.53865594831094e-06	5.27599026152426	ILMN_1673518	C2orf16	down
CADM2	-1.28670580661746	7.47770634768156	-5.91355576934374	1.81425722058916e-06	1.62775428615919e-05	4.52886394870941	ILMN_2367638	CADM2	down
CAMK2B	-1.47166586598931	9.83554261321584	-5.87877661703262	1.99933714171698e-06	1.76308092550512e-05	4.4318296295666	ILMN_1733690	CAMK2B	down
CAPZA2	-1.20823852974493	8.70053553179791	-5.83865536597405	2.23661327201936e-06	1.93364013036245e-05	4.31983204842181	ILMN_1806787	CAPZA2	down
CASTOR3	1.69960559171579	7.62361396442045	5.77289535329314	2.68845402740297e-06	2.26820621364577e-05	4.1361407263024	ILMN_1801341	CASTOR3	up
CCDC7	1.28139026314654	7.61295999564537	5.58130166176106	4.60091156888331e-06	3.63015319684329e-05	3.60026930710167	ILMN_1770493	CCDC7	up
CCSER2	1.17723783862031	9.35174225703216	5.46593773643936	6.36279866298823e-06	4.80544935536873e-05	3.2773025484699	ILMN_1765578	CCSER2	up
CDYL	1.00363968773273	8.72750785977621	5.23685669961295	1.21250948259464e-05	8.35790986411583e-05	2.63595123120765	ILMN_2396956	CDYL	up
CHCHD5	2.0201477322778	7.9420397236139	5.07293126001237	1.92410760220513e-05	0.000124285204284815	2.17754340559503	ILMN_1766038	CHCHD5	up
CHMP4A	-1.88331335977654	9.020670903286	-5.04056922921915	2.10774502350027e-05	0.000134565493767179	2.08714602533496	ILMN_1658094	CHMP4A	down
CNPY2	1.16339370867338	10.3736136855376	4.79178420526095	4.24526722733711e-05	0.000246862032602952	1.39393924494162	ILMN_1730201	CNPY2	up
COL4A5	1.60741019007139	7.85449714303158	4.72070678658211	5.18367550004718e-05	0.000294834955407769	1.19662184026973	ILMN_1800512	COL4A5	up
COPB2	1.17883184921172	8.26546104159299	4.67765545506075	5.84959620874455e-05	0.000328821837146143	1.0773046912251	ILMN_1787265	COPB2	up
CORO1B	1.02701297018767	9.61550408226085	4.65781960526797	6.1843876543827e-05	0.000344819944694799	1.02238340690503	ILMN_1707339	CORO1B	up
CPVL	-2.6972410506357	9.20197799657612	-4.60020425936642	7.26862457460748e-05	0.000395752228466316	0.863064379673187	ILMN_2414135	CPVL	down
CTNS	1.23067288839582	8.10861221587675	4.45924098324106	0.000107825367641638	0.000555173654163421	0.474709583557386	ILMN_1801205	CTNS	up
DOPEY1	-1.40133104641765	9.60034515622596	-4.03665719283737	0.000347967652669249	0.00151163183530842	-0.673388531510329	ILMN_1754103	DOPEY1	down
EEF1A2	-1.00402864291434	7.4428691051039	-3.90685396862608	0.000496505672497846	0.00204688879472108	-1.01977861827447	ILMN_2310001	EEF1A2	down
FAM19A5	-1.22834937038668	8.17018409219798	-3.57415781435878	0.0012189219160561	0.00443235954201422	-1.88987374605848	ILMN_1802646	FAM19A5	down
GNG3	-1.04691259418884	7.42660489487473	-3.09958439178336	0.00420429727995643	0.0127863814193268	-3.07413728411025	ILMN_1800179	GNG3	down
GOLIM4	1.75781402763377	9.03375706456998	3.07269777981053	0.00450138621716319	0.0135931970601807	-3.1387993780128	ILMN_2184373	GOLIM4	up
GON4L	-1.05485555140712	9.25037491166517	-3.06965260107731	0.00453626707648363	0.0136856388775469	-3.14610471175052	ILMN_1712523	GON4L	down
GPR61	-1.13902887382682	7.426964732396	-3.0197622682152	0.0051456485590083	0.0152399341542956	-3.26525182341651	ILMN_2128931	GPR61	down
INSIG1	-1.12512770682858	8.06141523556278	-2.54326377315145	0.0164085362713157	0.0414708453179646	-4.34632285597505	ILMN_2337263	INSIG1	down
